flight_id,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades,period_start,period_finish
c2ce3a2c-65d7-413a-b71b-ce72fb83caf5,GFA003,A9CKD,A332,0x89402C,OBBI,EGLL,2017-08-02T07:23:25Z,2017-08-02T14:20:52Z
3a61e183-b18e-4a25-aea2-894d84f5ed07,BAW18,GZBJG,B788,0x406A9E,RKSI,EGLL,2017-08-02T08:47:52Z,2017-08-02T13:33:00Z
d89456e0-f459-48be-9b7b-80694b81d237,CPA257,BKQR,B77W,0x780A66,VHHH,EGLL,2017-08-02T09:05:54Z,2017-08-02T14:03:00Z
2b733ec9-4cb4-4969-89e6-152a612d6385,RJA111,JYBAC,B788,0x740823,OJAI,EGLL,2017-08-02T09:07:55Z,2017-08-02T14:19:27Z
c0429d92-eb85-47f1-8136-5d7c27e86368,RJA111,NA,NA,0x740823,OJAI,EGLL,2017-08-02T09:19:37Z,2017-08-02T14:18:54Z
1a6db0da-70e8-4810-aeac-5752c885b9dd,THY9HA,TCJJE,B77W,0x4BA945,LTBA,EGLL,2017-08-02T09:30:06Z,2017-08-02T13:44:24Z
66f73438-60b1-4874-ac9f-f52551593230,TAM8084,PTMUH,B77W,0xE48BAA,SBGR,EGLL,2017-08-02T10:10:35Z,2017-08-02T13:42:18Z
0c19d858-eab3-4f2e-9fdc-5ed7ffcb1bd3,SHT13H,GEUOC,A319,0x400938,EGNT,EGLL,2017-08-02T10:24:34Z,2017-08-02T14:11:55Z
fdaaa760-a579-4459-b539-fc69abc46305,BAW80KA,GEUUF,A320,0x400981,BIKF,EGLL,2017-08-02T10:29:14Z,2017-08-02T13:43:18Z
e83d8eee-5f51-4a60-8481-fb7c0c23065f,UAL930,N2341U,B77W,0xA219EA,KSFO,EGLL,2017-08-02T10:40:21Z,2017-08-02T13:34:16Z
ef8c6ff6-6b2e-4b1d-a3b0-0a21fe30775f,AAL136,N731AN,B77W,0xA9CECF,KLAX,EGLL,2017-08-02T10:44:51Z,2017-08-02T13:34:29Z
f0b782a5-8b97-4994-b346-b1e5f01d271e,CPA257,NA,NA,0x780A66,VHHH,EGLL,2017-08-02T10:56:25Z,2017-08-02T13:55:36Z
72144c60-f2a1-4bc0-8560-93b38dca689d,BAW85GA,A7ADI,A320,0x06A02D,LDZA,EGLL,2017-08-02T11:03:23Z,2017-08-02T13:40:00Z
1e367d5a-4f5d-4993-8d0a-c38bb31a4b87,BAW12DT,GEUYT,A320,0x406A3D,LHBP,EGLL,2017-08-02T11:17:04Z,2017-08-02T14:12:12Z
9f2b6142-4166-4b09-9582-a12b3fc2779e,BAW45EM,GVIIK,B772,0x400683,LEMD,EGLL,2017-08-02T11:18:02Z,2017-08-02T13:31:35Z
857edcb4-b9e7-4537-86ed-4f346957e398,SAS805,LNRRN,B737,0x47839D,ENGM,EGLL,2017-08-02T11:30:11Z,2017-08-02T13:45:58Z
4d57c0f8-cceb-4d6d-9504-5639cea42ced,BAW45T,GEUOH,A319,0x400940,LIRF,EGLL,2017-08-02T11:30:28Z,2017-08-02T14:15:41Z
34a48e41-bba0-466a-b998-93d791203d5a,BAW82,GVIIF,B772,0x4005BE,DNAA,EGLL,2017-08-02T11:30:35Z,2017-08-02T13:48:12Z
d43d1157-b0b8-43fc-b0df-7ba59be5c907,BAW855,A7ADF,A320,0x06A027,LKPR,EGLL,2017-08-02T11:30:38Z,2017-08-02T13:37:39Z
d4cf32a5-d237-4e81-9a85-4cbf18c4a099,AUA461X,OELBO,A320,0x44001B,LOWW,EGLL,2017-08-02T11:31:38Z,2017-08-02T13:53:51Z
0288ad5f-c8ed-47cf-b218-87057204e5d3,BAW34BQ,GEUXC,A321,0x400AFB,LIPE,EGLL,2017-08-02T11:33:34Z,2017-08-02T13:39:30Z
585cdb9f-8928-414c-a5b7-a9c5882f207a,IBE31DG,ECMCS,A320,0x3445D4,LEMD,EGLL,2017-08-02T11:34:20Z,2017-08-02T13:51:12Z
e3d101fb-081d-48f1-8e0b-711e1c67f081,BAW52CV,GEUYE,A320,0x406091,LKPR,EGLL,2017-08-02T11:36:53Z,2017-08-02T13:48:40Z
acbdc4bd-653b-4a60-94f9-1295ef379af9,BAW951L,GEUUY,A320,0x405A47,EDDM,EGLL,2017-08-02T11:39:26Z,2017-08-02T13:39:12Z
8b801a6e-e5e2-408e-a045-d660ba9d4c6d,BAW1BG,GEUOD,A319,0x40093D,ENBR,EGLL,2017-08-02T11:41:18Z,2017-08-02T13:58:50Z
f6a2ee67-06db-4919-ac7e-dbb3c55e122c,BAW815,GEUYF,A320,0x40615B,EKCH,EGLL,2017-08-02T11:50:20Z,2017-08-02T13:56:12Z
65e2396d-5561-4051-b264-38957b750988,BAW579V,GEUXL,A321,0x4010DC,LIPZ,EGLL,2017-08-02T11:57:40Z,2017-08-02T13:56:00Z
549c745e-f176-4267-8153-b9e515ddcdf7,BAW347,GBZHA,B763,0x4006C6,LFMN,EGLL,2017-08-02T12:00:17Z,2017-08-02T14:02:06Z
1a08f24b-727f-4cec-bd53-c3e975a4d878,BAW485,GEUYS,A320,0x406A02,LEBL,EGLL,2017-08-02T12:04:28Z,2017-08-02T14:24:41Z
a661860f-8c5a-432e-a8a6-bc2e270fd467,BAW609,GEUPL,A319,0x40087B,LIEO,EGLL,2017-08-02T12:07:29Z,2017-08-02T14:26:12Z
df016a5e-195d-42b6-8b6e-9aedba083c05,DLH7LY,DAIBI,A319,0x3C6449,EDDF,EGLL,2017-08-02T12:17:24Z,2017-08-02T14:01:13Z
dad02035-c935-46d9-88a9-87ab4d97873b,BAW577,GEUYX,A320,0x406B62,LIML,EGLL,2017-08-02T12:21:41Z,2017-08-02T14:28:00Z
bc97cb06-71a0-4469-b126-20daa485ffb5,EIN034N,EIDEM,A320,0x4CA293,EGAC,EGLL,2017-08-02T12:22:49Z,2017-08-02T13:35:02Z
e0531c19-a6c5-4b36-a411-de28c7088523,EIN034N,NA,NA,0x4CA293,EGAC,EGLL,2017-08-02T12:23:30Z,2017-08-02T13:33:05Z
dca84b98-c8cf-4e4f-8233-dbe61478000e,DLH7LY,NA,NA,0x3C6449,EDDF,EGLL,2017-08-02T12:29:48Z,2017-08-02T13:48:24Z
0a9e812e-6151-435a-868a-23f3cbb578c4,BAW72A,GSTBI,B77W,0x406A34,KSAN,EGLL,2017-08-02T12:30:04Z,2017-08-02T14:07:55Z
d44e201e-e0af-4113-a569-75a46071bf3d,BAW827,GEUPZ,A319,0x400935,EIDW,EGLL,2017-08-02T12:32:10Z,2017-08-02T14:15:41Z
0c8af06f-dbd9-494e-b77f-158f579d28c3,BAW38P,GCIVL,B744,0x400614,KPHX,EGLL,2017-08-02T12:41:34Z,2017-08-02T14:25:38Z
d88e62c2-8778-43be-833d-721c410f1e45,BAW939,GEUUP,A320,0x400A25,EDDL,EGLL,2017-08-02T12:53:22Z,2017-08-02T14:13:30Z
54d6227b-94b6-4554-9fe4-8e47d7e19bd5,EIN166,EIDVM,A320,0x4CA92D,EIDW,EGLL,2017-08-02T12:54:30Z,2017-08-02T14:21:30Z
fdcc37c2-18a3-4f3b-90ad-ec5a0658bd5f,BAW835W,GEUPM,A319,0x40087C,EIDW,EGLL,2017-08-02T12:57:02Z,2017-08-02T14:29:40Z
a2b7b7b4-a5d4-4014-a4c2-45d54ca8c79d,KLM1019,PHEZD,E190,0x484B31,EHAM,EGLL,2017-08-02T12:59:02Z,2017-08-02T13:53:30Z
afa99f76-693e-4947-8898-36d3da3c29b7,SHT3F,GMIDO,A320,0x4009F9,EGCC,EGLL,2017-08-02T13:04:53Z,2017-08-02T14:02:24Z
2a98682a-5aa7-4480-8888-6092b3d6ad51,SHT3F,NA,NA,0x4009F9,EGCC,EGLL,2017-08-02T13:16:30Z,2017-08-02T14:04:54Z
eef60ea9-58f5-4433-8830-bd59879edec7,BAW835W,NA,NA,0x40087C,EIDW,EGLL,2017-08-02T13:16:57Z,2017-08-02T14:29:42Z
