flight_id,event_time,longitude,latitude,altitude,speed,on_ground,vert_speed
e5259c3,2017-08-02T07:28:14Z,50.59614,26.31844,1975,196,0,704
e5259c3,2017-08-02T07:29:29Z,50.57271,26.4002,3050,272,0,2176
e5259c3,2017-08-02T07:39:11Z,50.01998,27.16187,20275,410,0,2560
e5259c3,2017-08-02T07:38:50Z,50.04822,27.12976,19250,418,0,2624
e5259c3,2017-08-02T07:25:10Z,50.64943,26.26026,0,15,1,0
e5259c3,2017-08-02T07:24:01Z,50.64648,26.26138,0,18,1,0
e5259c3,2017-08-02T07:30:48Z,50.54531,26.4951,5825,274,0,2112
e5259c3,2017-08-02T07:42:42Z,49.72858,27.49255,24375,447,0,1216
e5259c3,2017-08-02T07:28:50Z,50.58591,26.35378,2350,238,0,832
e5259c3,2017-08-02T07:40:27Z,49.91898,27.27692,22025,427,0,1088
e5259c3,2017-08-02T07:45:13Z,49.53223,27.75632,27475,456,0,1536
e5259c3,2017-08-02T07:29:38Z,50.56965,26.41072,3375,272,0,2496
e5259c3,2017-08-02T07:29:56Z,50.56326,26.43284,4125,267,0,2496
e5259c3,2017-08-02T07:54:48Z,49.85909,28.9324,34700,486,0,256
e5259c3,2017-08-02T07:41:27Z,49.83541,27.37164,23000,440,0,960
e5259c3,2017-08-02T07:40:33Z,49.9111,27.28588,22125,428,0,1152
e5259c3,2017-08-02T07:44:46Z,49.5577,27.70524,26975,453,0,1856
e5259c3,2017-08-02T07:54:20Z,49.84984,28.87079,34550,480,0,384
e5259c3,2017-08-02T08:10:09Z,49.66244,30.97829,38000,483,0,0
e5259c3,2017-08-02T07:55:52Z,49.88041,29.07358,35550,487,0,768
e5259c3,2017-08-02T07:57:23Z,49.87979,29.27966,36625,488,0,1280
e5259c3,2017-08-02T07:57:53Z,49.87033,29.34826,37200,483,0,960
e5259c3,2017-08-02T08:11:46Z,49.64557,31.19582,38000,486,0,-64
e5259c3,2017-08-02T08:27:50Z,48.83325,33.16224,38000,472,0,0
e5259c3,2017-08-02T08:28:20Z,48.79113,33.21414,38000,472,0,0
e5259c3,2017-08-02T08:13:41Z,49.62524,31.4556,38000,488,0,0
e5259c3,2017-08-02T08:43:36Z,47.50312,34.9057,38000,469,0,0
e5259c3,2017-08-02T08:44:40Z,47.41242,35.02284,38000,468,0,0
e5259c3,2017-08-02T08:48:40Z,47.07282,35.46501,38000,468,0,0
e5259c3,2017-08-02T08:48:58Z,47.04732,35.49828,38000,467,0,0
e5259c3,2017-08-02T08:39:32Z,47.85005,34.45396,38000,472,0,0
e51d2a1,2017-08-02T09:00:07Z,49.61192,61.68274,40000,485,0,0
e5259c3,2017-08-02T09:07:56Z,45.27252,37.44197,40000,461,0,0
e5259c3,2017-08-02T08:45:16Z,47.36035,35.08988,38000,469,0,0
e5259c3,2017-08-02T08:46:23Z,47.26543,35.21214,38000,469,0,0
