flight_id,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades,ssr_codes,period_start,period_finish,source_ids
00702940-9864-4e95-b9b3-404e10e70281,SAS31A,LNRCU,B736,0x47835C,ESSA,EGLL,['2030' '5533'],2017-08-02T16:56:59Z,2017-08-02T19:45:56Z,['0xe53d6f5' 317768]
00f4f246-7d0e-4beb-8281-4ca622fb3ebe,AEE2,NA,NA,0x4692C9,LGAV,EGLL,['2056' '7520'],2017-08-02T11:43:10Z,2017-08-02T15:17:06Z,[299056]
0100c1fc-a6eb-42ea-bf03-efb458ff0806,BAW246,GYMMI,B772,0x4007F4,SBGR,EGLL,['0000' '6217' '7444' '2212'],2017-08-02T01:11:37Z,2017-08-02T06:11:28Z,['0xe50c7d4' 293263]
013ba3c5-a26b-4cc9-8dc7-02da13ab91b6,BAW276,GZBJA,B788,0x40688E,HYD,EGLL,['3675' '2220' '0320' '7461'],2017-08-02T05:45:20Z,2017-08-02T11:44:30Z,['0xe51c785' 303530]
018cf830-f170-49ff-a423-13a899c7aab4,UAL958,N651UA,B763,0xA89234,KORD,EGLL,['0000' '5423'],2017-08-02T04:16:34Z,2017-08-02T05:43:03Z,['0xe50cedc']
021d7404-9298-43a4-9c7c-a6ba3993e4f2,SHT88P,GEUYM,A320,0x406532,EGAC,EGLL,['0000' '1406' '7763'],2017-08-02T05:57:07Z,2017-08-02T07:08:30Z,['0xe523770' 290647]
0288ad5f-c8ed-47cf-b218-87057204e5d3,BAW34BQ,GEUXC,A321,0x400AFB,LIPE,EGLL,['0000' '0232' '5437' '7533' '6362' '2242' '2246'],2017-08-02T11:33:34Z,2017-08-02T13:39:30Z,['0xe52d678' 303932]
02e448e4-8697-41df-8423-24795850881d,AAR521,HL7732,B772,0x71BF32,RKSI,EGLL,['0000' '5757' '2254'],2017-08-02T12:58:20Z,2017-08-02T17:44:35Z,['0xe523dcd' 307730]
02f62551-c3d5-4156-bc56-4e17977882c6,BAW491,GTTOB,A320,0x40095D,LXGB,EGLL,['0000' '5323' '5524'],2017-08-02T15:30:47Z,2017-08-02T18:21:27Z,['0xe538fba']
035023a1-9a3c-409c-9910-0117382c6e04,BAW553,GBNWB,B763,0x40041C,LIRF,EGLL,['0000' '4314' '4057' '0266'],2017-08-02T10:12:53Z,2017-08-02T12:50:48Z,['0xe52a887' 303395]
0371499e-3894-4bde-a645-11380259efd1,SHT13C,GEUPU,A319,0x4008B5,EGNT,EGLL,['0000' '4241'],2017-08-02T05:01:51Z,2017-08-02T06:13:55Z,['0xe522028' 289910]
0465d849-eff6-462d-a536-9173a40a5609,AAL174,N788AN,B772,0xAAAE4B,KRDU,EGLL,['5424' '0000'],2017-08-02T03:30:59Z,2017-08-02T05:04:08Z,[298626 '0xe513c01']
0498a8c1-a68a-45d1-bd22-77d326406e29,AIC131,VTANI,B788,0x8005F2,VABB,EGLL,['3652' '3253'],2017-08-02T04:11:41Z,2017-08-02T10:19:27Z,['0xe51ab7a' 301184]
04aae168-9d4a-4f44-a448-9918acabe000,BAW715,GEUOA,A319,0x400936,LSZH,EGLL,['0000' '3063' '6233'],2017-08-02T14:09:13Z,2017-08-02T15:58:39Z,['0xe534acc' 308918]
0510b70b-64b0-4742-a191-b191c75d7b23,BAW282,GXLED,A388,0x406A03,KLAX,EGLL,['5446' '0000'],2017-08-02T07:27:37Z,2017-08-02T09:06:59Z,[298036 '0xe5154c4']
